hotel_id,hotel_name,location,price,rating,amenities,image_url,description
1,Taj Lake Palace,Udaipur,25000,4.9,"['Wi-Fi', 'Pool', 'Spa', 'Breakfast']",https://lh3.googleusercontent.com/proxy/9xXsYHoL28Uvs1Y1xiSOM3OaYwp7iZn9PNrZdlKRorHL1a-_JRlkrsr0o-FeE3J9Cu55eB4Kd12tSKK5SKou1KnRNPJzOUW1a9jDOxQM4pw6AokNEn8Mz9EzSdXTlwfz6PeCbdt2qtyHw8OiNSaCi7kqmekdd8idydV9Ng=s1360-w1360-h1020,"Taj Lake Palace in Udaipur is a property that offers a royal experience with impeccable hospitality. The property is situated in the middle of Lake Pichola and offers breathtaking views. The staff is courteous and goes above and beyond to make guests feel special."
2,The Leela Palace,Udaipur,23000,4.8,"['Wi-Fi', 'Parking', 'Fitness Center', 'Lake View']",https://lh3.googleusercontent.com/p/AF1QipMX_pTNXFwgozINJ3YQQ51JqlQ7yzG8FRm8mg_1=s1360-w1360-h1020,"The Leela celebrates each hotel through its unique location, art, culture and cuisine with thoughtful services, celebratory rituals, and immersive experiences."
3,The Oberoi Udaivilas,Udaipur,28000,4.9,"['Wi-Fi', 'Pool', 'Luxury Spa', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipMXhrIcC8-URjDYgMSpW2r7RERJEsLg4IeTYcRa=s1360-w1360-h1020,"The Oberoi Udaivilas is a 5-star hotel in Udaipur, India that's known for its romantic setting on Lake Pichola. It's built on the former hunting grounds of the Maharana of Mewar."
4,Rambagh Palace,Jaipur,27000,4.8,"['Free Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipPS38VP5j4uX7BxK2bclKs3up1GyNjoUAv17zXP=s1360-w1360-h1020,"Rambagh Palace, Jaipur has a stately elegance that has long made it a much cherished destination. Celebrated restaurants and iconic grounds bestow the 'Jewel of Jaipur' with an added measure of grandeur."
5,Oberoi Rajvilas,Jaipur,26000,4.7,"['Wi-Fi', 'Yoga Pavilion', 'Private Pools', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNV-kjooaBDwWJB_zj5UwHYzyy4l1LjeJ41J7Ev=s1360-w1360-h1020,"Explore authentic Rajasthan with a luxury stay at The Oberoi Rajvilas, a 5 star hotel in Jaipur just 30 mins drive from the Airport."
6,JW Marriott Jaipur Resort & Spa,Jaipur,22000,4.6,"['Wi-Fi', 'Fitness Center', 'Luxury Spa', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipOfZkUClkqxvTCUqrXtAe-P68m74BLZDS5gXxDZ=s680-w680-h510,"The JW Marriott Jaipur Resort & Spa is a luxury hotel in Rajasthan that combines traditional architecture with modern amenities. The resort is set in the Aravalli hills and is close to palaces like Amber Fort and Jal Mahal." 
7,Wildflower Hall,Shimla,19000,4.8,"['Wi-Fi', 'Mountain View', 'Adventure Sports', 'Luxury Spa']",https://lh3.googleusercontent.com/proxy/ZTK5TC08Sg0XwVxJwW3D5up2vMTn8D4ZCW6AzVUfPEOUJ2LwvEHbw1eWzj_27x6n3Jq7dt7pkDJROT3kVENu-pK-JSg-i0femfITyi_CIYmQRyPrQaF9UffJwW-RaoVCSZNymYcBqCjps8UWofYMSxxlU4_ssVx5Yz0_Tw=s1360-w1360-h1020,"Wildflower Hall, An Oberoi Resort is one of the best resorts in Shimla that offers snowfall views, a swimming pool, luxury accommodations & more."
8,The Imperial,New Delhi,21000,4.7,"['Wi-Fi', 'Colonial Architecture', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNZR_vpU2ZvL7fofcPj9ZGdo1Hw3RAs4WPx_y8J=s1360-w1360-h1020,"The Imperial New Delhi is a luxury hotel in New Delhi, India that's known for its elegant architecture, notable art collection, and exceptional service."
9,ITC Grand Chola,Chennai,18000,4.6,"['Wi-Fi', 'Heritage Stay', 'Fitness Center', 'Fine Dining']",https://lh3.googleusercontent.com/proxy/69Ilu49qMjZ042ky0BWyqGfwRT5z-GZ6gdYALkAKUM_-EJzPwMfnVS5npRXGpn_U7Lkz4zrpfIiOCVaJMIeUAxoRmOg8ajNhTcTQejBW_O2-GkowJ8e_NIrprA3GdorM07UqvCtcR7Kl40jM-VsGMPaRaxJdMg=s1360-w1360-h1020,"Luxury accommodation, signature cuisines & exceptional amenities make ITC Grand Chola, Chennai, one of the world's best 5-star hotels."
10,Taj Mahal Tower,Mumbai,25000,4.9,"['Wi-Fi', 'Sea View', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipOqbF0DApKmbMUg_Swk9mspnyPSZOVkVC-h3j-h=s1360-w1360-h1020,"An iconic location at the Gateway of India, with sweeping views over the Arabian Sea and access to palace wing facilities."
11,The Oberoi Grand,Kolkata,20000,4.7,"['Wi-Fi', 'Heritage Stay', 'Fine Dining', 'Luxury Spa']",https://lh3.googleusercontent.com/p/AF1QipNtoA13HvYM--vDXe1gyiYY7JfSC5v0b2t-0lar=s1360-w1360-h1020,"The Oberoi Grand is a 5-star hotel in Kolkata, India that's known for its heritage charm, elegant decor, and world-class dining." 
12,Four Seasons Hotel,Mumbai,23000,4.6,"['Wi-Fi', 'Luxury Spa', 'Rooftop Bar', 'Fine Dining']",https://lh3.googleusercontent.com/p/AF1QipOWbwrNbz15F2pfMbfygi-_TyncTiX4aIK7ObGD=s1360-w1360-h1020,"The Four Seasons Hotel Mumbai is a luxury hotel in Worli, Mumbai, India. It has a rooftop bar and restaurant, an outdoor pool, a spa, and a fitness center. The hotel is known for its attentive service and spacious rooms." 
